Questions,LemmaID,words,category,lexical_category,aoa,DF_aoa,Kuperman_aoa,words_FeatsVersion,words_FANversion,words_DaleFensonVersion,words_KupermanVersion,Freq_pm,Feats_check,FAN_check,DF_check
,bowl,bowl,household,nouns,22.11911531,21,4.26,bowl,bowl,bowl,bowl,21.45,TRUE,TRUE,TRUE
,box,box,household,nouns,21.74187804,22,4.3,box,box,box,box,89.75,TRUE,TRUE,TRUE
,boy,boy,people,other,22.73642148,20,3.67,boy,boy,boy,boy,529.82,TRUE,TRUE,TRUE
,bread,bread,food_drink,nouns,21.17000405,21,3.58,bread,bread,bread,bread,28.33,TRUE,TRUE,TRUE
,brother,brother,people,other,26.65701942,28,3.63,brother,brother,brother,brother,283.94,TRUE,TRUE,TRUE
,brush,brush,household,nouns,21.44336272,22,3.78,brush,brush,brush,brush,14.16,TRUE,TRUE,TRUE
,bubbles,bubbles,toys,nouns,17.75470999,18,3.79,bubble,bubble,bubbles,bubble,8,TRUE,TRUE,TRUE
,bug,bug,animals,nouns,20.95382291,19,3.79,bug,bug,bug,bug,20.94,TRUE,TRUE,TRUE
,bus,bus,vehicles,nouns,20.44328624,21,3.85,bus,bus,bus,bus,74.18,TRUE,TRUE,TRUE
,butter,butter,food_drink,nouns,23.90870261,22,5.78,butter,butter,butter,butter,20.43,TRUE,TRUE,TRUE
,butterfly,butterfly,animals,nouns,22.54512234,23,3.67,butterfly,butterfly,butterfly,butterfly,5.51,TRUE,TRUE,TRUE
,buttons,button,clothing,nouns,21.78850695,20,4.78,button,button,button,button,28.25,TRUE,TRUE,TRUE
,cake,cake,food_drink,nouns,21.63313802,22,3.26,cake,cake,cake,cake,45.06,TRUE,TRUE,TRUE
,camera,camera,household,nouns,24.94613371,25,6,camera,camera,camera,camera,57,TRUE,TRUE,TRUE
,camping,camping,places,other,31.16263019,NA,5.33,camping,camping,camping,camping,6.18,TRUE,TRUE,TRUE
,can,can (object),household,nouns,26.71063666,27,4.32,can,can,can (item),can,5247.45,TRUE,TRUE,TRUE
,candy_1,candy,food_drink,nouns,22.00849813,22,4,candy,candy,candy,candy,35.78,TRUE,TRUE,TRUE
,car,car,vehicles,nouns,16.93378021,16,3.37,car,car,car,car,483.06,TRUE,TRUE,TRUE
,carrot,carrots,food_drink,nouns,23.27305918,23,2.74,carrot,carrots,carrots,carrot,3.82,TRUE,TRUE,TRUE
,cat,cat,animals,nouns,17.27125582,18,3.68,cat,cat,cat,cat,66.33,TRUE,TRUE,TRUE
,cat,kitty,animals,nouns,17.09833362,16,3.64,kitty,kitten,kitty,kitten,4.73,TRUE,TRUE,TRUE
,cereal,cereal,food_drink,nouns,21.55702474,22,4.44,cereal,cereal,cereal,cereal,6.35,TRUE,TRUE,TRUE
,chair,chair,furniture_rooms,nouns,20.32574972,19,3.43,chair,chair,chair,chair,49.24,TRUE,TRUE,TRUE
,cheek,cheek,body_parts,nouns,22.86220424,22,5.06,cheek,cheek,cheek,cheek,7.16,TRUE,TRUE,TRUE
,cheese,cheese,food_drink,nouns,17.66447363,17,4.33,cheese,cheese,cheese,cheese,39.04,TRUE,TRUE,TRUE
,children,child,people,other,31.01239879,NA,5.15,child,child,child,child,157.65,TRUE,TRUE,TRUE
,chocolate,chocolate,food_drink,nouns,24.42716476,26,3.33,chocolate,chocolate,chocolate,chocolate,29.39,TRUE,TRUE,TRUE
,church,church*,places,other,26.47988803,26,5.15,church,church,church,church,69.67,TRUE,TRUE,TRUE
,cloud,cloud,outside,nouns,24.85821048,27,3.63,cloud,cloud,cloud,cloud,11.75,TRUE,TRUE,TRUE
,clown,clown,people,other,26.43701835,23,3.72,clown,clown,clown,clown,15.82,TRUE,TRUE,TRUE
,coffee,coffee,food_drink,nouns,24.36227292,22,4.94,coffee,coffee,coffee,coffee,144.53,TRUE,TRUE,TRUE
,comb,comb,household,nouns,24.30029974,23,5.5,comb,comb,comb,comb,6.06,TRUE,TRUE,TRUE
,cookie,cookie,food_drink,nouns,17.583781,16,3.37,cookie,cookie,cookie,cookie,16.71,TRUE,TRUE,TRUE
,corn_1,corn,food_drink,nouns,23.45077759,23,4.61,corn,corn,corn,corn,14.22,TRUE,TRUE,TRUE
,country,country,places,other,33.46246617,NA,7.05,country,country,country,country,161.84,TRUE,TRUE,TRUE
,cow,cow,animals,nouns,19.44727505,19,3.94,cow,cow,cow,cow,25.51,TRUE,TRUE,TRUE
,cowboy,cowboy,people,other,29.61833466,NA,4.55,cowboy,cowboy,cowboy,cowboy,18.98,TRUE,TRUE,TRUE
,cracker,cracker,food_drink,nouns,18.61589503,17,4.9,cracker,cracker,cracker,cracker,5.76,TRUE,TRUE,TRUE
,crocodile,alligator,animals,nouns,24.81540309,25,4.78,alligator,alligator,alligator,alligator,3.49,TRUE,TRUE,TRUE
,deer,deer,animals,nouns,25.82484253,27,5.17,deer,deer,deer,deer,8.71,TRUE,TRUE,TRUE
,diaper,diaper,clothing,nouns,18.90023005,19,3.4,diaper,diaper,diaper,diaper,4.27,TRUE,TRUE,TRUE
,doctor,doctor,people,other,24.15870774,23,4.6,doctor,doctor,doctor,doctor,263.94,TRUE,TRUE,TRUE
,dog,dog,animals,nouns,13.0174018,16,2.8,dog,dog,dog,dog,192.84,TRUE,TRUE,TRUE
,dog,puppy,animals,nouns,20.26150237,19,3.28,puppy,puppy,puppy,puppy,11.45,TRUE,TRUE,TRUE
,doll,doll,toys,nouns,21.49325513,20,3.68,doll,doll,doll,doll,24.76,TRUE,TRUE,TRUE
,door,door,furniture_rooms,nouns,19.664695,19,3.05,door,door,door,door,292.06,TRUE,TRUE,TRUE
,drawer,drawer,furniture_rooms,nouns,26.73544663,26,5.37,drawer_(the_furniture),drawer,drawer,drawer,13,TRUE,TRUE,TRUE
,dress,dress (object),clothing,nouns,24.87809734,23,4.05,dress,dress,dress,dress,87.2,TRUE,TRUE,TRUE
